Year,Month,Value
1981,8,419.54
1981,7,392.644
1981,6,245.397
1981,5,273.023
1981,4,324.137
1981,3,369.183
1981,2,276.662
1981,1,260.909
1980,12,336.75
1980,11,341.19
1980,10,369.312
1980,9,329.056
1980,8,311.891
1980,7,322.017
1980,6,358.751
1980,5,343.299
1980,4,285.794
1980,3,262.475
1980,2,208.653
1980,1,225.585
1979,12,257.89
1979,11,261.386
1979,10,282.48
1979,9,218.586
1979,8,259.451
1979,7,265.735
1979,6,250.673
1979,5,250.145
1979,4,233.873
1979,3,241.045
1979,2,159.28
1979,1,174.569
1978,12,208.871
1978,11,236.659
1978,10,222.759
1978,9,183.946
1978,8,176.105
1978,7,160.129
1978,6,219.68
1978,5,181.963
1978,4,132.187
1978,3,64.605
1978,2,56.798
1978,1,76.735
1977,12,160.79
1977,11,171.202
1977,10,186.155
1977,9,192.805
1977,8,165.718
1977,7,195.242
1977,6,208.999
1977,5,210.991
1977,4,195.647
1977,3,136.544
1977,2,127.518
1977,1,100.279
1976,12,179.839
1976,11,214.592
1976,10,200.412
1976,9,197.788
1976,8,164.321
1976,7,183.5
1976,6,222.274
1976,5,193.529
1976,4,203.014
1976,3,148.215
1976,2,130.286
1976,1,133.918
1975,12,179.878
1975,11,238.836
1975,10,168.08
1975,9,168.853
1975,8,203.021
1975,7,172.327
1975,6,215.488
1975,5,234.229
1975,4,208.831
1975,3,199.517
1975,2,171.418
1975,1,162.773
1974,12,122.687
1974,11,225.305
1974,10,246.304
1974,9,169.578
1974,8,190.58
1974,7,200.632
1974,6,225.425
1974,5,217.693
1974,4,186.646
1974,3,132.223
1974,2,164.831
1974,1,121.461
1973,12,183.859
1973,11,183.453
1973,10,207.655
1973,9,146.492
1973,8,191.049
1973,7,164.134
1973,6,178.871
1973,5,196.775
1973,4,194.185
1973,3,139.95
1973,2,120.883
1973,1,125.781
2022,12,9066.264
2022,11,8273.912
2022,10,7800.768
2022,9,7772.714
2022,8,8518.828
2022,7,8572.373
2022,6,8145.026
2022,5,7925.639
2022,4,7736.783
2022,3,8533.378
2022,2,8450.59
2022,1,9497.343
2021,12,8742.943
2021,11,8135.173
2021,10,7763.648
2021,9,7714.912
2021,8,8518.784
2021,7,8407.848
2021,6,8040.753
2021,5,7721.363
2021,4,7516.392
2021,3,8109.947
2021,2,8139.566
2021,1,8928.905
2020,12,8705.941
2020,11,7575.024
2020,10,7469.102
2020,9,7293.286
2020,8,8006.082
2020,7,8059.713
2020,6,7268.462
2020,5,6821.535
2020,4,6508.521
2020,3,7876.849
2020,2,8360.393
2020,1,8966.847
2019,12,8948.229
2019,11,8396.083
2019,10,7942.208
2019,9,7867.33
2019,8,8566.334
2019,7,8563.209
2019,6,7918.254
2019,5,7952.508
2019,4,7676.292
2019,3,8707.932
2019,2,8391.764
2019,1,9547.795
2018,12,9028.026
2018,11,8515.055
2018,10,8085.767
2018,9,7863.383
2018,8,8689.597
2018,7,8610.071
2018,6,8142.886
2018,5,7986.151
2018,4,7886.114
2018,3,8705.319
2018,2,8063.527
2018,1,9664.295
2017,12,9187.345
2017,11,8097.034
2017,10,7808.365
2017,9,7617.954
2017,8,8292.363
2017,7,8421.861
2017,6,7958.659
2017,5,7793.161
2017,4,7452.589
2017,3,8430.375
2017,2,7621.169
2017,1,8975.712
2016,12,9074.257
2016,11,7711.816
2016,10,7648.667
2016,9,7744.049
2016,8,8530.154
2016,7,8459.733
2016,6,7928.654
2016,5,7576.361
2016,4,7445.813
2016,3,7982.819
2016,2,8224.63
2016,1,9054.375
2015,12,8367.728
2015,11,7672.433
2015,10,7612.678
2015,9,7682.857
2015,8,8308.935
2015,7,8425.841
2015,6,7895.194
2015,5,7642.061
2015,4,7464.734
2015,3,8429.971
2015,2,8607.225
2015,1,9294.495
2014,12,8793.278
2014,11,8192.794
2014,10,7755.149
2014,9,7637.999
2014,8,8198.857
2014,7,8223.28
2014,6,7772.385
2014,5,7643.874
2014,4,7551.893
2014,3,8517.475
2014,2,8423.46
2014,1,9586.483
2013,12,9062.839
2013,11,8119.866
2013,10,7706.94
2013,9,7629.752
2013,8,8161.596
2013,7,8262.797
2013,6,7715.26
2013,5,7604.697
2013,4,7513.723
2013,3,8373.339
2013,2,8007.458
2013,1,8972.18
2012,12,8384.22
2012,11,7757.487
2012,10,7563.881
2012,9,7358.432
2012,8,8219.988
2012,7,8285.023
2012,6,7723.45
2012,5,7599.486
2012,4,7204.799
2012,3,7662.981
2012,2,7954.118
2012,1,8665.994
2011,12,8568.405
2011,11,7775.258
2011,10,7565.361
2011,9,7551.652
2011,8,8394.546
2011,7,8370.638
2011,6,7879.549
2011,5,7568.806
2011,4,7485.909
2011,3,8324.754
2011,2,8096.615
2011,1,9286.555
2010,12,9220.375
2010,11,7785.97
2010,10,7489.57
2010,9,7682.088
2010,8,8430.51
2010,7,8366.06
2010,6,7997.903
2010,5,7665.728
2010,4,7361.5
2010,3,8189.356
2010,2,8200.719
2010,1,9121.933
2009,12,8830.931
2009,11,7437.884
2009,10,7463.259
2009,9,7263.586
2009,8,7955.069
2009,7,7807.503
2009,6,7530.481
2009,5,7280.13
2009,4,7334.307
2009,3,8045.425
2009,2,7866.518
2009,1,9126.286
2008,12,8793.516
2008,11,7805.05
2008,10,7779.769
2008,9,7348.739
2008,8,8211.733
2008,7,8411.818
2008,6,8036.547
2008,5,7889.757
2008,4,7832.002
2008,3,8584.242
2008,2,8649.687
2008,1,9410.223
2007,12,9081.762
2007,11,8074.134
2007,10,7964.483
2007,9,7933.632
2007,8,8812.4
2007,7,8483.21
2007,6,8090.308
2007,5,8013.514
2007,4,7915.909
2007,3,8555.085
2007,2,8750.787
2007,1,9217.747
2006,12,8793.257
2006,11,8028.285
2006,10,8019.633
2006,9,7785.711
2006,8,8731.219
2006,7,8632.076
2006,6,8146.008
2006,5,7956.158
2006,4,7709.121
2006,3,8584.244
2006,2,8190.394
2006,1,8815.156
2005,12,9198.364
2005,11,7939.52
2005,10,7782.683
2005,9,7789.245
2005,8,8687.78
2005,7,8580.711
2005,6,8172.038
2005,5,7938.992
2005,4,7714.702
2005,3,8726.251
2005,2,8283.69
2005,1,9287.408
2004,12,9156.165
2004,11,8050.394
2004,10,7947.516
2004,9,7830.364
2004,8,8354.259
2004,7,8406.31
2004,6,7982.258
2004,5,7966.288
2004,4,7793.65
2004,3,8430.947
2004,2,8733.796
2004,1,9350.291
2003,12,8926.267
2003,11,7835.596
2003,10,7781.205
2003,9,7605.765
2003,8,8391.306
2003,7,8272.414
2003,6,7642.504
2003,5,7663.895
2003,4,7668.229
2003,3,8382.89
2003,2,8431.29
2003,1,9233.312
2002,12,8832.151
2002,11,8013.08
2002,10,7801.55
2002,9,7660.305
2002,8,8344.95
2002,7,8425.767
2002,6,7890.038
2002,5,7800.416
2002,4,7758.495
2002,3,8359.26
2002,2,7856.609
2002,1,8792.683
2001,12,8259.881
2001,11,7543.832
2001,10,7717.423
2001,9,7400.545
2001,8,8303.245
2001,7,8144.365
2001,6,7652.56
2001,5,7629.031
2001,4,7638.077
2001,3,8473.223
2001,2,8072.475
2001,1,9229.002
2000,12,9198.44
2000,11,7939.981
2000,10,7760.527
2000,9,7692.319
2000,8,8542.549
2000,7,8230.393
2000,6,8002.816
2000,5,8025.763
2000,4,7669.696
2000,3,8293.292
2000,2,8402.198
2000,1,8945.497
1999,12,8670.977
1999,11,7633.339
1999,10,7713.475
1999,9,7611.081
1999,8,8376.896
1999,7,8368.263
1999,6,7804.101
1999,5,7622.277
1999,4,7655.634
1999,3,8369.499
1999,2,7808.51
1999,1,8911.852
1998,12,8468.989
1998,11,7505.875
1998,10,7608.851
1998,9,7615.07
1998,8,8225.676
1998,7,8276.433
1998,6,7714.748
1998,5,7574.494
1998,4,7510.096
1998,3,8168.632
1998,2,7644.974
1998,1,8607.432
1997,12,8606.322
1997,11,7749.808
1997,10,7677.179
1997,9,7412.823
1997,8,7909.847
1997,7,8090.945
1997,6,7465.953
1997,5,7476.438
1997,4,7523.066
1997,3,7985.14
1997,2,7787.027
1997,1,8823.698
1996,12,8404.839
1996,11,7795.7
1996,10,7617.365
1996,9,7147.226
1996,8,7869.461
1996,7,7757.82
1996,6,7446.033
1996,5,7463.082
1996,4,7361.871
1996,3,8191.761
1996,2,8104.034
1996,1,8776.628
1995,12,8410.367
1995,11,7572.342
1995,10,7224.254
1995,9,7135.6
1995,8,7917.373
1995,7,7626.026
1995,6,7231.931
1995,5,7150.661
1995,4,7105.602
1995,3,7741.174
1995,2,7595.767
1995,1,8220.876
1994,12,8004.0
1994,11,7148.132
1994,10,7070.611
1994,9,6881.232
1994,8,7472.467
1994,7,7390.638
1994,6,7161.979
1994,5,6886.151
1994,4,6979.174
1994,3,7663.456
1994,2,7742.173
1994,1,8584.499
1993,12,8017.693
1993,11,7280.565
1993,10,6983.06
1993,9,6815.06
1993,8,7333.215
1993,7,7307.744
1993,6,6843.164
1993,5,6645.595
1993,4,6902.824
1993,3,7811.62
1993,2,7419.789
1993,1,7906.822
1992,12,8044.431
1992,11,7078.626
1992,10,6901.625
1992,9,6682.167
1992,8,7029.227
1992,7,7159.824
1992,6,6715.207
1992,5,6698.111
1992,4,6841.695
1992,3,7348.601
1992,2,7243.262
1992,1,7983.356
1991,12,7683.272
1991,11,7006.25
1991,10,6858.579
1991,9,6657.673
1991,8,7112.438
1991,7,7098.771
1991,6,6697.962
1991,5,6654.742
1991,4,6536.525
1991,3,7139.158
1991,2,6862.151
1991,1,8073.919
1990,12,7542.279
1990,11,6771.694
1990,10,6806.996
1990,9,6613.362
1990,8,7279.16
1990,7,7032.228
1990,6,6756.04
1990,5,6746.032
1990,4,6767.827
1990,3,7305.262
1990,2,7003.709
1990,1,7809.229
1989,12,8245.458
1989,11,6940.303
1989,10,6790.632
1989,9,6480.976
1989,8,7028.178
1989,7,6856.059
1989,6,6693.823
1989,5,6635.388
1989,4,6660.421
1989,3,7541.178
1989,2,7229.609
1989,1,7638.754
1988,12,7540.36
1988,11,6704.226
1988,10,6586.707
1988,9,6340.877
1988,8,6988.178
1988,7,6746.03
1988,6,6507.738
1988,5,6390.836
1988,4,6449.806
1988,3,7296.746
1988,2,7308.187
1988,1,7800.316
1987,12,7277.377
1987,11,6342.057
1987,10,6362.769
1987,9,6123.881
1987,8,6514.555
1987,7,6626.659
1987,6,6280.222
1987,5,6199.256
1987,4,6313.868
1987,3,6767.036
1987,2,6729.068
1987,1,7472.334
1986,12,7027.262
1986,11,6119.265
1986,10,6039.911
1986,9,5818.638
1986,8,6223.701
1986,7,6354.208
1986,6,6015.826
1986,5,6099.383
1986,4,6109.551
1986,3,6775.964
1986,2,6620.399
1986,1,7395.548
1985,12,7219.105
1985,11,6059.118
1985,10,6026.246
1985,9,5759.0
1985,8,6256.987
1985,7,6187.443
1985,6,5880.48
1985,5,6005.352
1985,4,6106.13
1985,3,6577.553
1985,2,6880.264
1985,1,7377.254
1984,12,6666.436
1984,11,6100.793
1984,10,5960.973
1984,9,5761.176
1984,8,6323.114
1984,7,6155.513
1984,6,6026.485
1984,5,6170.762
1984,4,6270.456
1984,3,6858.673
1984,2,6623.097
1984,1,7654.075
1983,12,6863.357
